id,name,group,url
1,Bergamot,CITRUS SMELLS,https://www.fragrantica.com/notes/Bergamot-75.html
2,Bigarade,CITRUS SMELLS,https://www.fragrantica.com/notes/Bigarade-1083.html
3,Bitter Orange,CITRUS SMELLS,https://www.fragrantica.com/notes/Bitter-Orange-79.html
4,Blood Orange,CITRUS SMELLS,https://www.fragrantica.com/notes/Blood-Orange-286.html
5,Buddha's hand,CITRUS SMELLS,https://www.fragrantica.com/notes/Buddha-s-hand-1589.html
6,Calamansi,CITRUS SMELLS,https://www.fragrantica.com/notes/Calamansi-1028.html
7,Candied Lemon,CITRUS SMELLS,https://www.fragrantica.com/notes/Candied-Lemon-1485.html
8,Chen Pi,CITRUS SMELLS,https://www.fragrantica.com/notes/Chen-Pi-1289.html
9,Chinotto,CITRUS SMELLS,https://www.fragrantica.com/notes/Chinotto-866.html
10,Citron,CITRUS SMELLS,https://www.fragrantica.com/notes/Citron-373.html
11,Citrus Japonica,CITRUS SMELLS,https://www.fragrantica.com/notes/Citrus-Japonica-1642.html
12,Citrus Water,CITRUS SMELLS,https://www.fragrantica.com/notes/Citrus-Water-1182.html
13,Citruses,CITRUS SMELLS,https://www.fragrantica.com/notes/Citruses-313.html
14,Clementine,CITRUS SMELLS,https://www.fragrantica.com/notes/Clementine-84.html
15,Finger Lime,CITRUS SMELLS,https://www.fragrantica.com/notes/Finger-Lime-881.html
16,Grapefruit,CITRUS SMELLS,https://www.fragrantica.com/notes/Grapefruit-76.html
17,Grapefruit Leaf,CITRUS SMELLS,https://www.fragrantica.com/notes/Grapefruit-Leaf-933.html
18,Grapefruit Peel,CITRUS SMELLS,https://www.fragrantica.com/notes/Grapefruit-Peel-1338.html
19,Green Tangerine,CITRUS SMELLS,https://www.fragrantica.com/notes/Green-Tangerine-1176.html
20,Hassaku,CITRUS SMELLS,https://www.fragrantica.com/notes/Hassaku-445.html
21,Hatkora Lemon,CITRUS SMELLS,https://www.fragrantica.com/notes/Hatkora-Lemon-639.html
22,Kaffir Lime,CITRUS SMELLS,https://www.fragrantica.com/notes/Kaffir-Lime-958.html
23,Kumquat,CITRUS SMELLS,https://www.fragrantica.com/notes/Kumquat-81.html
24,Lemon,CITRUS SMELLS,https://www.fragrantica.com/notes/Lemon-77.html
25,Lemon Balm,CITRUS SMELLS,https://www.fragrantica.com/notes/Lemon-Balm-375.html
26,Lemon Myrtle,CITRUS SMELLS,https://www.fragrantica.com/notes/Lemon-Myrtle-1587.html
27,Lemon Tree,CITRUS SMELLS,https://www.fragrantica.com/notes/Lemon-Tree-381.html
28,Lemon Verbena,CITRUS SMELLS,https://www.fragrantica.com/notes/Lemon-Verbena-120.html
29,Lemon Zest,CITRUS SMELLS,https://www.fragrantica.com/notes/Lemon-Zest-788.html
30,Lemongrass,CITRUS SMELLS,https://www.fragrantica.com/notes/Lemongrass-358.html
31,Lime,CITRUS SMELLS,https://www.fragrantica.com/notes/Lime-78.html
32,Limetta,CITRUS SMELLS,https://www.fragrantica.com/notes/Limetta-901.html
33,Litsea Cubeba,CITRUS SMELLS,https://www.fragrantica.com/notes/Litsea-Cubeba-529.html
34,Mandarin Orange,CITRUS SMELLS,https://www.fragrantica.com/notes/Mandarin-Orange-82.html
35,Mandora,CITRUS SMELLS,https://www.fragrantica.com/notes/Mandora-1044.html
36,Methyl Pamplemousse,CITRUS SMELLS,https://www.fragrantica.com/notes/Methyl-Pamplemousse-467.html
37,Neroli,CITRUS SMELLS,https://www.fragrantica.com/notes/Neroli-17.html
38,Orange,CITRUS SMELLS,https://www.fragrantica.com/notes/Orange-80.html
39,Palestinian Sweet Lime,CITRUS SMELLS,https://www.fragrantica.com/notes/Palestinian-Sweet-Lime-1308.html
40,Perfume lemon,CITRUS SMELLS,https://www.fragrantica.com/notes/Perfume-lemon-1754.html
41,Petitgrain,CITRUS SMELLS,https://www.fragrantica.com/notes/Petitgrain-3.html
42,Pokan,CITRUS SMELLS,https://www.fragrantica.com/notes/Pokan-1354.html
43,Pomelo,CITRUS SMELLS,https://www.fragrantica.com/notes/Pomelo-242.html
44,Quenepa,CITRUS SMELLS,https://www.fragrantica.com/notes/Quenepa-1729.html
45,Rangpur,CITRUS SMELLS,https://www.fragrantica.com/notes/Rangpur-1531.html
46,Red Mandarin,CITRUS SMELLS,https://www.fragrantica.com/notes/Red-Mandarin-1538.html
47,Rind Bergamot,CITRUS SMELLS,https://www.fragrantica.com/notes/Rind-Bergamot-1689.html
48,Shiikuwasha,CITRUS SMELLS,https://www.fragrantica.com/notes/Shiikuwasha-1302.html
49,Sudachi citrus,CITRUS SMELLS,https://www.fragrantica.com/notes/Sudachi-citrus-1576.html
50,Tangelo,CITRUS SMELLS,https://www.fragrantica.com/notes/Tangelo-935.html
51,Tangerine,CITRUS SMELLS,https://www.fragrantica.com/notes/Tangerine-85.html
52,Tangerine Zest,CITRUS SMELLS,https://www.fragrantica.com/notes/Tangerine-Zest-1441.html
53,Yuzu,CITRUS SMELLS,https://www.fragrantica.com/notes/Yuzu-83.html
54,Acai Berry,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Acai-Berry-596.html
55,Acerola,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Acerola-673.html
56,Acorn,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Acorn-1244.html
57,Akebia fruit,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Akebia-fruit-1720.html
58,Almond,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Almond-130.html
59,Apple,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Apple-146.html
60,Apple Juice,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Apple-Juice-929.html
61,Apple Pulp,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Apple-Pulp-930.html
62,Apple Sherbet,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Apple-Sherbet-823.html
63,Apricot,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Apricot-175.html
64,Arctic Bramble,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Arctic-Bramble-1027.html
65,Argan,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Argan-956.html
66,Artichoke,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Artichoke-1232.html
67,Ashberry,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Ashberry-1693.html
68,Banana,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Banana-123.html
69,Barberry,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Barberry-329.html
70,Bearberry,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Bearberry-344.html
71,Beetroot,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Beetroot-817.html
72,Bitter melon,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Bitter-melon-1748.html
73,Black Cherry,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Black-Cherry-1376.html
74,Black Currant,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Black-Currant-132.html
75,Black Sapote,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Black-Sapote-1517.html
76,Black Walnut,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Black-Walnut-1343.html
77,Blackberry,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Blackberry-169.html
78,Blackthorn,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Blackthorn-634.html
79,Blueberry,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Blueberry-225.html
80,Boysenberry,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Boysenberry-577.html
81,Brazil Nut,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Brazil-Nut-533.html
82,Breadnut,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Breadnut-1101.html
83,Buriti,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Buriti-1230.html
84,Burning Cherry,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Burning-Cherry-1330.html
85,Cabernet Grape,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Cabernet-Grape-1625.html
86,Candlenut,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Candlenut-1366.html
87,Cantaloupe,"FRUITS, VEGETABLES AND NUTS",https://www.fragrantica.com/notes/Cantaloupe-1328.html
